classification,total_trades,avg_pnl,total_pnl,avg_trade_size_usd
Extreme Greed,6935,26.320044399999997,182529.507914,5670.433770728191
Fear,45551,96.34053061124892,4388407.509873,8435.724518671379
Greed,7116,226.88826534443507,1614536.896191,8580.651028667791
Neutral,3207,56.80021401777362,182158.286355,5769.1135297786095
